Rank,Club,Country,Level,Elo,From,To
None,APOEL,CYP,0,885.664001465,1963-07-03,1963-09-08
None,APOEL,CYP,0,1041.38500977,1963-09-09,1963-09-11
None,APOEL,CYP,0,1041.3001709,1963-09-12,1963-09-28
None,APOEL,CYP,0,1071.68383789,1963-09-29,1963-10-01
None,APOEL,CYP,0,1071.56201172,1963-10-02,1963-11-13
None,APOEL,CYP,0,1071.390625,1963-11-14,1963-11-20
None,APOEL,CYP,0,1071.21289062,1963-11-21,1964-07-01
None,APOEL,CYP,0,1034.09729004,1965-07-01,1965-09-26
None,APOEL,CYP,0,1031.73608398,1965-09-27,1965-10-06
None,APOEL,CYP,0,1031.6862793,1965-10-07,1965-10-10
None,APOEL,CYP,0,1032.27709961,1965-10-11,1965-10-13
None,APOEL,CYP,0,1032.20568848,1965-10-14,1966-07-02
None,APOEL,CYP,0,1001.09008789,1968-07-02,1968-09-18
None,APOEL,CYP,0,1003.84802246,1968-09-19,1968-09-20
None,APOEL,CYP,0,1008.15527344,1968-09-21,1968-09-22
None,APOEL,CYP,0,1008.33703613,1968-09-23,1968-09-26
None,APOEL,CYP,0,1008.32336426,1968-09-27,1968-10-02
None,APOEL,CYP,0,1007.96984863,1968-10-03,1968-11-13
None,APOEL,CYP,0,1002.27697754,1968-11-14,1968-11-27
None,APOEL,CYP,0,1024.37927246,1968-11-28,1969-02-26
None,APOEL,CYP,0,1026.66882324,1969-02-27,1969-03-12
None,APOEL,CYP,0,1023.25201416,1969-03-13,1969-09-17
None,APOEL,CYP,0,1011.73553467,1969-09-18,1969-09-24
None,APOEL,CYP,0,1011.61315918,1969-09-25,1969-09-30
None,APOEL,CYP,0,1011.60180664,1969-10-01,1969-10-01
None,APOEL,CYP,0,1001.94586182,1969-10-02,1970-07-01
None,APOEL,CYP,1,1128.25549316,1973-07-01,1973-09-17
None,APOEL,CYP,1,1128.22009277,1973-09-18,1973-09-19
None,APOEL,CYP,1,1129.99450684,1973-09-20,1973-09-23
None,APOEL,CYP,1,1127.01916504,1973-09-24,1973-09-30
None,APOEL,CYP,1,1126.2755127,1973-10-01,1973-10-02
None,APOEL,CYP,1,1123.5670166,1973-10-03,1973-10-03
None,APOEL,CYP,1,1136.87597656,1973-10-04,1973-10-07
None,APOEL,CYP,1,1130.7409668,1973-10-08,1973-10-14
None,APOEL,CYP,1,1126.17028809,1973-10-15,1973-10-21
None,APOEL,CYP,1,1123.1171875,1973-10-22,1973-10-24
None,APOEL,CYP,1,1127.83178711,1973-10-25,1973-10-29
None,APOEL,CYP,1,1126.21923828,1973-10-30,1973-11-04
None,APOEL,CYP,1,1138.97558594,1973-11-05,1973-11-07
None,APOEL,CYP,1,1143.19580078,1973-11-08,1973-11-11
None,APOEL,CYP,1,1136.7199707,1973-11-12,1973-12-02
None,APOEL,CYP,1,1143.95263672,1973-12-03,1973-12-09
None,APOEL,CYP,1,1150.90283203,1973-12-10,1973-12-16
None,APOEL,CYP,1,1145.3182373,1973-12-17,1973-12-23
None,APOEL,CYP,1,1151.03393555,1973-12-24,1973-12-30
None,APOEL,CYP,1,1150.18139648,1973-12-31,1974-01-06
None,APOEL,CYP,1,1158.56726074,1974-01-07,1974-01-13
None,APOEL,CYP,1,1155.97705078,1974-01-14,1974-01-20
None,APOEL,CYP,1,1161.93261719,1974-01-21,1974-01-27
None,APOEL,CYP,1,1159.71020508,1974-01-28,1974-02-03
None,APOEL,CYP,1,1158.62390137,1974-02-04,1974-02-10
None,APOEL,CYP,1,1156.64025879,1974-02-11,1974-02-17
None,APOEL,CYP,1,1155.35534668,1974-02-18,1974-03-03
None,APOEL,CYP,1,1159.75415039,1974-03-04,1974-03-10
None,APOEL,CYP,1,1155.25756836,1974-03-11,1974-03-17
None,APOEL,CYP,1,1145.70568848,1974-03-18,1974-03-24
None,APOEL,CYP,1,1142.01879883,1974-03-25,1974-03-31
None,APOEL,CYP,1,1150.56481934,1974-04-01,1974-04-07
None,APOEL,CYP,1,1164.85327148,1974-04-08,1974-04-14
None,APOEL,CYP,1,1161.34741211,1974-04-15,1974-04-21
None,APOEL,CYP,1,1171.7421875,1974-04-22,1974-04-28
None,APOEL,CYP,1,1176.07373047,1974-04-29,1974-05-12
None,APOEL,CYP,1,1181.5604248,1974-05-13,1974-05-19
None,APOEL,CYP,1,1178.14526367,1974-05-20,1974-06-05
None,APOEL,CYP,1,1184.61193848,1974-06-06,1974-06-09
None,APOEL,CYP,1,1187.00463867,1974-06-10,1974-06-19
None,APOEL,CYP,1,1196.05297852,1974-06-20,1975-07-02
None,APOEL,CYP,0,1033.17932129,1976-07-03,1976-09-14
None,APOEL,CYP,0,1033.14465332,1976-09-15,1976-09-15
None,APOEL,CYP,0,1050.15686035,1976-09-16,1976-09-28
None,APOEL,CYP,0,1050.13757324,1976-09-29,1976-09-29
None,APOEL,CYP,0,1095.67480469,1976-09-30,1976-10-20
None,APOEL,CYP,0,1095.8536377,1976-10-21,1976-11-04
None,APOEL,CYP,0,1095.49804688,1976-11-05,1977-09-14
None,APOEL,CYP,0,1095.32849121,1977-09-15,1977-09-15
None,APOEL,CYP,0,1093.68139648,1977-09-16,1977-09-28
None,APOEL,CYP,0,1093.67321777,1977-09-29,1978-09-13
None,APOEL,CYP,0,1076.24633789,1978-09-14,1978-09-27
None,APOEL,CYP,0,1074.8762207,1978-09-28,1979-08-14
None,APOEL,CYP,0,1069.25976562,1979-08-15,1979-09-07
None,APOEL,CYP,0,1068.3026123,1979-09-08,1979-09-19
None,APOEL,CYP,0,1068.87646484,1979-09-20,1979-10-03
None,APOEL,CYP,0,1090.01220703,1979-10-04,1979-10-04
None,APOEL,CYP,0,1089.51660156,1979-10-05,1979-10-24
None,APOEL,CYP,0,1089.47741699,1979-10-25,1979-11-07
None,APOEL,CYP,0,1089.48278809,1979-11-08,1980-09-17
None,APOEL,CYP,0,1089.01831055,1980-09-18,1980-09-24
None,APOEL,CYP,0,1089.01257324,1980-09-25,1980-10-01
None,APOEL,CYP,0,1088.87817383,1980-10-02,1981-09-16
None,APOEL,CYP,0,1090.17211914,1981-09-17,1981-09-30
None,APOEL,CYP,0,1086.98901367,1981-10-01,1982-07-06
None,APOEL,CYP,0,1058.24853516,1984-07-01,1984-09-19
None,APOEL,CYP,0,1057.77819824,1984-09-20,1984-10-03
None,APOEL,CYP,0,1057.76049805,1984-10-04,1985-09-18
None,APOEL,CYP,0,1079.38684082,1985-09-19,1985-10-02
None,APOEL,CYP,0,1080.07446289,1985-10-03,1985-10-23
None,APOEL,CYP,0,1080.12719727,1985-10-24,1985-11-07
None,APOEL,CYP,0,1080.05334473,1985-11-08,1986-09-17
None,APOEL,CYP,0,1086.1015625,1986-09-18,1986-10-01
None,APOEL,CYP,0,1105.61779785,1986-10-02,1987-07-01
None,APOEL,CYP,0,1103.06616211,1988-07-03,1988-09-06
None,APOEL,CYP,0,1102.30200195,1988-09-07,1988-09-07
None,APOEL,CYP,0,1103.20910645,1988-09-08,1988-10-05
None,APOEL,CYP,0,1101.16320801,1988-10-06,1989-07-02
None,APOEL,CYP,0,1100.42431641,1990-07-02,1990-09-19
None,APOEL,CYP,0,1102.21679688,1990-09-20,1990-10-03
None,APOEL,CYP,0,1123.86437988,1990-10-04,1990-10-24
